ID,CategoryName,GroupName,FromCode,ToCode,Colour
1,User,Other,00001,00999,Grey
2,Dx,Dx-1,01000,01999,Yellow
3,Dx,Other,02000,02099,Grey
4,Dx,Dx-2,02100,02199,Orange
5,Dx,Other,02200,05199,Grey
6,Dx,Dx-3,05200,05299,mistyrose
7,Dx,Other,05300,09999,Grey
8,Prev,Other,10000,10999,Grey
9,Scaling,Scaling-1,11000,11999,Purple
10,Scaling,Scaling-2,12000,12999,Purple
11,Prev,Other,13000,13199,Grey
12,Scaling,Scaling-3,13200,13299,Orchid
13,Prev,Other,13300,13399,Grey
14,Scaling,Scaling-4,13400,13499,Orchid
15,Prev,Other,13500,19999,Grey
16,Resto,Resto-1,20000,26999,Green
17,Resto,Resto-2,27000,27999,Gold
18,Resto,Other,28000,29999,Grey
19,Endo,Endo,30000,39999,Blue
20,Perio,Other,40000,49999,Grey
21,Prostho-R,Prostho-R,50000,59999,Teal
22,Prostho-F,Other,60000,69999,Grey
23,Exo,Exo,70000,79999,Red
24,Ortho,Other,80000,89999,Grey
25,Adj,Other,90000,99999,Grey
